Name,Description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME,ADDRESSPOSTALCODE,ADDRESSFLOORNUMBER,HYPERLINK,PHOTOURL,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER,Latitude,Longitude
kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>23</td> </tr><tr bgcolor=""""> <th>ADDRESSBUILDINGNAME</th> <td>NEX</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Serangoon Central</td> </tr><tr bgcolor=""""> <th>ADDRESSTYPE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>SRPL</td> </tr><tr bgcolor=""""> <th>LANDXADDRESSPOINT</th> <td>32333.4</td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDYADDRESSPOINT</th> <td>36982.090000000004</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Serangoon Public Library</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>556083</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td>4</td> </tr><tr bgcolor=""#E3E3F3""> <th>HYPERLINK</th> <td>http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/342/Default.aspx?branch=Serangoon+Public+Library</td> </tr><tr bgcolor=""""> <th>PHOTOURL</th> <td>http://www.nlb.gov.sg/Portals/0/library/gallery/Serangoon/MAIN-SRPL-cropped.jpg</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>14A27BA632A157E6</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190429101416</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td>82-83</td> </tr></table></center>",23,NEX,Serangoon Central,,SRPL,32333.4,36982.090000000004,Serangoon Public Library,556083,4,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/342/Default.aspx?branch=Serangoon+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Serangoon/MAIN-SRPL-cropped.jpg,14A27BA632A157E6,20190429101416,82-83,1.35072709374027,103.872256917786
kml_2,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>277</td> </tr><tr bgcolor=""""> <th>ADDRESSBUILDINGNAME</th> <td>Orchard Gateway</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Orchard Road</td> </tr><tr bgcolor=""""> <th>ADDRESSTYPE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>OCPL</td> </tr><tr bgcolor=""""> <th>LANDXADDRESSPOINT</th> <td>28706.75</td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDYADDRESSPOINT</th> <td>31418.05</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>library@orchard</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>238858</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td>3</td> </tr><tr bgcolor=""#E3E3F3""> <th>HYPERLINK</th> <td>http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/337/Default.aspx?branch=library%40orchard</td> </tr><tr bgcolor=""""> <th>PHOTOURL</th> <td>http://www.nlb.gov.sg/Portals/0/library/gallery/Orchard/OCPL_main.jpg</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>C407699EBC5E051F</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190429101416</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td>12</td> </tr></table></center>",277,Orchard Gateway,Orchard Road,,OCPL,28706.75,31418.05,library@orchard,238858,3,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/337/Default.aspx?branch=library%40orchard,http://www.nlb.gov.sg/Portals/0/library/gallery/Orchard/OCPL_main.jpg,C407699EBC5E051F,20190429101416,12,1.30040819039694,103.839669047112
kml_3,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>50</td> </tr><tr bgcolor=""""> <th>ADDRESSBUILDINGNAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Geylang East Ave 1</td> </tr><tr bgcolor=""""> <th>ADDRESSTYPE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>GEPL</td> </tr><tr bgcolor=""""> <th>LANDXADDRESSPOINT</th> <td>33844.82</td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDYADDRESSPOINT</th> <td>33301.73</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Geylang East Public Library</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>389777</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>HYPERLINK</th> <td>http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/328/Default.aspx?branch=Geylang+East+Public+Library</td> </tr><tr bgcolor=""""> <th>PHOTOURL</th> <td>http://www.nlb.gov.sg/Portals/0/library/gallery/Geylang/MAIN-GEPL-cropped.jpg</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>30D87253D8E26004</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190424094745</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td></td> </tr></table></center>",50,,Geylang East Ave 1,,GEPL,33844.82,33301.73,Geylang East Public Library,389777,,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/328/Default.aspx?branch=Geylang+East+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Geylang/MAIN-GEPL-cropped.jpg,30D87253D8E26004,20190424094745,,1.31744297942454,103.885837273218
kml_4,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>60</td> </tr><tr bgcolor=""""> <th>ADDRESSBUILDINGNAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Jurong West Central 3</td> </tr><tr bgcolor=""""> <th>ADDRESSTYPE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>JWPL</td> </tr><tr bgcolor=""""> <th>LANDXADDRESSPOINT</th> <td>13665.24</td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDYADDRESSPOINT</th> <td>35866.61</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Jurong West Public Library</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>648346</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>HYPERLINK</th> <td>http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/302/Default.aspx?branch=Jurong+West+Public+Library</td> </tr><tr bgcolor=""""> <th>PHOTOURL</th> <td>http://www.nlb.gov.sg/Portals/0/library/gallery/JurongWest/MAIN-JWPL-cropped.jpg</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>D1BB0FDF8C695C1B</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190424094745</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td>3</td> </tr></table></center>",60,,Jurong West Central 3,,JWPL,13665.24,35866.61,Jurong West Public Library,648346,1,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/302/Default.aspx?branch=Jurong+West+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/JurongWest/MAIN-JWPL-cropped.jpg,D1BB0FDF8C695C1B,20190424094745,3,1.34063599253795,103.704512325533
kml_5,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>1</td> </tr><tr bgcolor=""""> <th>ADDRESSBUILDINGNAME</th> <td>West Mall</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Bukit Batok Central Link</td> </tr><tr bgcolor=""""> <th>ADDRESSTYPE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>BBPL</td> </tr><tr bgcolor=""""> <th>LANDXADDRESSPOINT</th> <td>18648.02</td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDYADDRESSPOINT</th> <td>36846.26</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Bukit Batok Public Library</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>658713</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td>3</td> </tr><tr bgcolor=""#E3E3F3""> <th>HYPERLINK</th> <td>http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/286/Default.aspx?branch=Bukit+Batok+Public+Library</td> </tr><tr bgcolor=""""> <th>PHOTOURL</th> <td>http://www.nlb.gov.sg/Portals/0/library/gallery/BukitBatok/MAIN-BBPL-cropped.jpg</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>2559184B4E71B2D2</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190424094745</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td>1</td> </tr></table></center>",1,West Mall,Bukit Batok Central Link,,BBPL,18648.02,36846.26,Bukit Batok Public Library,658713,3,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/286/Default.aspx?branch=Bukit+Batok+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/BukitBatok/MAIN-BBPL-cropped.jpg,2559184B4E71B2D2,20190424094745,1,1.34949754800173,103.749285191724
kml_6,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>1</td> </tr><tr bgcolor=""""> <th>ADDRESSBUILDINGNAME</th> <td>Compass One</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Sengkang Square</td> </tr><tr bgcolor=""""> <th>ADDRESSTYPE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>SKPL</td> </tr><tr bgcolor=""""> <th>LANDXADDRESSPOINT</th> <td>34829.64</td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDYADDRESSPOINT</th> <td>41471.67</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Sengkang Public Library</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>545078</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td>3</td> </tr><tr bgcolor=""#E3E3F3""> <th>HYPERLINK</th> <td>http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/341/Default.aspx?branch=Sengkang+Public+Library</td> </tr><tr bgcolor=""""> <th>PHOTOURL</th> <td>http://www.nlb.gov.sg/Portals/0/library/gallery/Senkang/SKPL%20Main.JPG</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>991D1CCEFDA5DDF6</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190424094745</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td>28</td> </tr></table></center>",1,Compass One,Sengkang Square,,SKPL,34829.64,41471.67,Sengkang Public Library,545078,3,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/341/Default.aspx?branch=Sengkang+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Senkang/SKPL%20Main.JPG,991D1CCEFDA5DDF6,20190424094745,28,1.39132876236971,103.894688239041
kml_7,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>278</td> </tr><tr bgcolor=""""> <th>ADDRESSBUILDINGNAME</th> <td>Marine Parade Community Building</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Marine Parade Road</td> </tr><tr bgcolor=""""> <th>ADDRESSTYPE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>MPPL</td> </tr><tr bgcolor=""""> <th>LANDXADDRESSPOINT</th> <td>36487.36</td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDYADDRESSPOINT</th> <td>31889.39</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Marine Parade Public Library</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>449282</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>HYPERLINK</th> <td>http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/324/Default.aspx?branch=Marine+Parade+Public+Library</td> </tr><tr bgcolor=""""> <th>PHOTOURL</th> <td>http://www.nlb.gov.sg/Portals/0/library/gallery/MarineParade/MAIN-MPPL-cropped.jpg</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>AFD4A92E28FAB9F6</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190424094745</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td>2</td> </tr></table></center>",278,Marine Parade Community Building,Marine Parade Road,,MPPL,36487.36,31889.39,Marine Parade Public Library,449282,1,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/324/Default.aspx?branch=Marine+Parade+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/MarineParade/MAIN-MPPL-cropped.jpg,AFD4A92E28FAB9F6,20190424094745,2,1.30466966872275,103.909581446984
kml_8,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>1</td> </tr><tr bgcolor=""""> <th>ADDRESSBUILDINGNAME</th> <td>White Sands</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Pasir Ris Central St 3</td> </tr><tr bgcolor=""""> <th>ADDRESSTYPE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>PRPL</td> </tr><tr bgcolor=""""> <th>LANDXADDRESSPOINT</th> <td>40922.89</td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDYADDRESSPOINT</th> <td>39374.15</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Pasir Ris Public Library</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>518457</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td>4</td> </tr><tr bgcolor=""#E3E3F3""> <th>HYPERLINK</th> <td>http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/325/Default.aspx?branch=Pasir+Ris+Public+Library</td> </tr><tr bgcolor=""""> <th>PHOTOURL</th> <td>http://www.nlb.gov.sg/Portals/0/library/gallery/PasirRis/MAIN-PRPL-small.jpg</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>547D68A62EB32095</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190424094745</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td>1</td> </tr></table></center>",1,White Sands,Pasir Ris Central St 3,,PRPL,40922.89,39374.15,Pasir Ris Public Library,518457,4,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/325/Default.aspx?branch=Pasir+Ris+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/PasirRis/MAIN-PRPL-small.jpg,547D68A62EB32095,20190424094745,1,1.37235750960519,103.949439880186
