SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,error
ADMIRALTY PRIMARY SCHOOL,11,WOODLANDS CIRCLE,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,24296.6250855923,47144.7700594738,1.4426347903311,103.800040119743,
AHMAD IBRAHIM PRIMARY SCHOOL,10,YISHUN STREET 11,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,768643,27958.1371433474,46096.2627680488,1.43315271543517,103.832942401086,
AI TONG SCHOOL,100,BRIGHT HILL DRIVE,AI TONG SCHOOL,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,579646,27966.8088298785,38071.9191181567,1.3605834338904,103.833020333986,
ALEXANDRA PRIMARY SCHOOL,2A,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,159016,27010.1854815315,30414.7169698272,1.29133439161334,103.824424680531,
ANCHOR GREEN PRIMARY SCHOOL,31,ANCHORVALE DRIVE,ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969,544969,33992.4459471293,41365.6329499111,1.39036998654612,103.887165375933,
ANDERSON PRIMARY SCHOOL,19,ANG MO KIO AVENUE 9,ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785,569785,28898.4776482461,40690.4297215287,1.38426429436736,103.841392081119,
ANGLO-CHINESE SCHOOL (JUNIOR),16,WINSTEDT ROAD,ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988,227988,28849.3350947062,32406.8353125956,1.30935041274966,103.840950265464,
ANGLO-CHINESE SCHOOL (PRIMARY),50,BARKER ROAD,ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918,309918,28254.9829477305,33404.2340238672,1.31837054523521,103.835609732354,
ANGSANA PRIMARY SCHOOL,51,TAMPINES STREET 61,ANGSANA PRIMARY SCHOOL,51 TAMPINES STREET 61 ANGSANA PRIMARY SCHOOL SINGAPORE 528565,528565,39754.5222957945,38406.3864220977,1.36360590588314,103.9389409004,
ANG MO KIO PRIMARY SCHOOL,20,ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920,569920,28702.4804675551,39038.1602696702,1.36932176584608,103.839630858752,
BEACON PRIMARY SCHOOL,36,BUKIT PANJANG RING ROAD,BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD BEACON PRIMARY SCHOOL SINGAPORE 679944,679944,21357.64699852,40655.688190354,1.38394936211823,103.773632022975,
BEDOK GREEN PRIMARY SCHOOL,1,BEDOK SOUTH AVENUE 2,BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317,469317,39636.5324891713,33965.6893824711,1.32344593287992,103.937878976352,
BENDEMEER PRIMARY SCHOOL,91,BENDEMEER ROAD,BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD BENDEMEER PRIMARY SCHOOL SINGAPORE 339948,339948,31570.8074810533,33784.8514976725,1.32181250780475,103.865404167629,
BLANGAH RISE PRIMARY SCHOOL,91,TELOK BLANGAH HEIGHTS,BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100,109100,25252.1938973861,28732.4526119996,1.27612047924037,103.808628535239,
BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL),20,BOON LAY DRIVE,BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL),20 BOON LAY DRIVE BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL) SINGAPORE 649930,649930,14594.0803428125,36110.2863859087,1.34284013791617,103.712858381937,
BUKIT PANJANG PRIMARY SCHOOL,109,CASHEW ROAD,BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676,679676,20883.8530479269,39513.7297099214,1.37362179302436,103.769374904025,
AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112,598112,20603.3479896449,35547.1996132508,1.3377498622588,103.766855344779,
BUKIT VIEW PRIMARY SCHOOL,18,BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634,659634,19135.5884738322,36444.0823157039,1.34586054788695,103.75366641455,
CANBERRA PRIMARY SCHOOL,21,ADMIRALTY DRIVE,CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714,757714,26057.0121687725,48097.4040875677,1.45125024371543,103.815858858929,
CANOSSA CATHOLIC PRIMARY SCHOOL,1,SALLIM ROAD,CANOSSA CATHOLIC PRIMARY SCHOOL,1 SALLIM ROAD CANOSSA CATHOLIC PRIMARY SCHOOL SINGAPORE 387621,387621,33443.1189393327,34319.1509661097,1.32664424544839,103.882227964852,
CANTONMENT PRIMARY SCHOOL,1,CANTONMENT CLOSE,CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256,088256,28739.4305021614,28660.7930697445,1.27547252623201,103.839962631748,
CASUARINA PRIMARY SCHOOL,30,PASIR RIS STREET 41,CASUARINA PRIMARY SCHOOL,30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935,518935,41766.4977676729,39385.5958609674,1.37246063927999,103.957020286115,
COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),9,BISHAN STREET 22,COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY),9 BISHAN STREET 22 COMMIT LEARNING SCHOOLHOUSE @ CATHOLIC HIGH SCHOOL (PRIMARY) SINGAPORE 579767,579767,29212.1656484166,37386.9490167908,1.35438878373608,103.844210670766,
BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL),15,CEDAR AVENUE,BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL),15 CEDAR AVENUE BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL) SINGAPORE 349700,349700,32707.7091499828,35316.1469013225,1.33566084356265,103.87562006259,
CHANGKAT PRIMARY SCHOOL,11,SIMEI STREET 3,CHANGKAT PRIMARY SCHOOL,11 SIMEI STREET 3 CHANGKAT PRIMARY SCHOOL SINGAPORE 529896,529896,41216.8906296864,35821.8419446945,1.34023163951633,103.952080114035,
CHIJ (KATONG) PRIMARY,17,MARTIA ROAD,CHIJ (KATONG) PRIMARY,17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821,424821,36656.9804726057,32090.1643723603,1.30648535277087,103.911105620496,
CHIJ (KELLOCK),1,BUKIT TERESA ROAD,CHIJ (KELLOCK),1 BUKIT TERESA ROAD CHIJ (KELLOCK) SINGAPORE 099757,099757,27425.6197932558,28611.0557805933,1.275022722964,103.828157564896,
CHIJ OUR LADY OF GOOD COUNSEL,2C,BURGHLEY DRIVE,CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979,558979,31415.5340866428,37723.1973494291,1.35742952269615,103.864009397373,
CHIJ OUR LADY OF THE NATIVITY,1257,UPPER SERANGOON ROAD,CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793,534793,35151.0338091562,39478.4768616967,1.37330297140128,103.897575728303,
CHIJ OUR LADY QUEEN OF PEACE,4A,CHESTNUT DRIVE,CHIJ OUR LADY QUEEN OF PEACE,4A CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679330,679330,20813.0919199651,38721.8321143519,1.36646014136363,103.768739256709,
CHIJ PRIMARY (TOA PAYOH),628,LORONG 1 TOA PAYOH,CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765,319765,28949.1537291808,34994.5345916729,1.33275264711587,103.841847263786,
CHIJ SAINT NICHOLAS GIRLS' SCHOOL,501,ANG MO KIO STREET 13,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405,569405,28104.0195931299,39497.6106162649,1.37347687878916,103.834253269436,
CHONGFU SCHOOL,170,YISHUN AVENUE 6,CHONGFU SCHOOL,170 YISHUN AVENUE 6 CHONGFU SCHOOL SINGAPORE 768959,768959,28666.6613053558,46675.9986570273,1.43839562897006,103.839309173817,
BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1,TAMPINES STREET 21,BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1 TAMPINES STREET 21 BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL) SINGAPORE 529392,529392,41131.9416870372,36969.5707135443,1.35061130568554,103.951317297552,
CHUA CHU KANG PRIMARY SCHOOL,20,CHOA CHU KANG AVENUE 2,CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905,689905,17818.7829598142,39971.2903354876,1.37775890093367,103.741832917421,
CLEMENTI PRIMARY SCHOOL,8,CLEMENTI AVENUE 3,CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903,129903,20190.2983410172,33038.6364921555,1.31506321827875,103.763144493687,
COMPASSVALE PRIMARY SCHOOL,21,COMPASSVALE STREET,COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091,545091,35177.2900137762,41816.2900234833,1.39444529636566,103.897812229905,
BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL),3,CHOA CHU KANG AVENUE 4,BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL),3 CHOA CHU KANG AVENUE 4 BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL) SINGAPORE 689814,689814,17231.3486815896,40248.4434567168,1.38026516111464,103.736554295636,
ADMIRALTY PRIMARY SCHOOL,11,WOODLANDS CIRCLE,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,24296.6250855923,47144.7700594738,1.4426347903311,103.800040119743,
CORPORATION PRIMARY SCHOOL,31,JURONG WEST STREET 24,CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24 CORPORATION PRIMARY SCHOOL SINGAPORE 648347,648347,14008.2263862854,37012.3505131546,1.35099779872539,103.707593724342,
ADMIRALTY PRIMARY SCHOOL,11,WOODLANDS CIRCLE,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,24296.6250855923,47144.7700594738,1.4426347903311,103.800040119743,
DAMAI PRIMARY SCHOOL,52,BEDOK RESERVOIR CRESCENT,DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479226,479226,37788.0885467725,35294.1912929006,1.33546106800406,103.921270169613,
DAZHONG PRIMARY SCHOOL,35,BUKIT BATOK STREET 31,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441,659441,18557.5702323942,37916.8722190689,1.3591797447277,103.74847210784,
DE LA SALLE SCHOOL,11,CHOA CHU KANG STREET 52,DE LA SALLE SCHOOL,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285,689285,17971.195454672,41845.4133931287,1.3947078296399,103.743201812831,
AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,65,JURONG EAST STREET 13,AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13 AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL SINGAPORE 609647,609647,17179.4264072292,35419.8652930856,1.33659726465816,103.736089481883,
EAST SPRING PRIMARY SCHOOL,31,TAMPINES STREET 33,EAST SPRING PRIMARY SCHOOL,31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258,529258,42284.8340225685,37198.8184850682,1.35268400746357,103.961676849165,
BUKIT VIEW PRIMARY SCHOOL,18,BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634,659634,19135.5884738322,36444.0823157039,1.34586054788695,103.75366641455,
EDGEFIELD PRIMARY SCHOOL,41,EDGEFIELD PLAINS,EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,36294.0746121518,42440.6405269764,1.40009139510996,103.907847599114,
AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL,11,PASIR RIS STREET 52,AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,518866,40460.9792755861,39672.6204007976,1.37505696315817,103.945289416873,
ENDEAVOUR PRIMARY SCHOOL,10,ADMIRALTY LINK,ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521,757521,26232.5507349819,48405.7003912628,1.45403837499301,103.817436231731,
EVERGREEN PRIMARY SCHOOL,31,WOODLANDS CIRCLE,EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE EVERGREEN PRIMARY SCHOOL SINGAPORE 738908,738908,23688.7552570887,47312.692020528,1.44415332824735,103.794577787757,
COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,22673.2819890725,31484.0275675338,1.30100441916733,103.785455606827,
FARRER PARK PRIMARY SCHOOL,2,FARRER PARK ROAD,FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567,217567,29941.7768185176,32740.5849021059,1.31236867681371,103.850766402965,
FENGSHAN PRIMARY SCHOOL,307,BEDOK NORTH ROAD,FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680,469680,38949.9907227494,34668.9245775398,1.32980598760785,103.931710293058,
FERNVALE PRIMARY SCHOOL,1,FERNVALE LANE,FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701,797701,32576.8849010281,41358.1178030372,1.39030227963797,103.874445458032,
FIRST TOA PAYOH PRIMARY SCHOOL,7,LORONG 8 TOA PAYOH,FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252,319252,30471.8817195026,35831.634454662,1.34032299499938,103.855529906182,
FRONTIER PRIMARY SCHOOL,20,JURONG WEST STREET 61,FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,648200,13129.8467444237,35399.679120725,1.33641298743234,103.69970173931,
FUCHUN PRIMARY SCHOOL,23,WOODLANDS AVENUE 1,FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063,739063,21865.3411816815,45800.7908879817,1.43047990810126,103.778192944298,
AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,65,JURONG EAST STREET 13,AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13 AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL SINGAPORE 609647,609647,17179.4264072292,35419.8652930856,1.33659726465816,103.736089481883,
GAN ENG SENG PRIMARY SCHOOL,100,REDHILL CLOSE,GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901,158901,26022.2170935348,29780.10807156,1.28559516494962,103.815547410064,
GEYLANG METHODIST SCHOOL (PRIMARY),4,GEYLANG EAST CENTRAL,GEYLANG METHODIST SCHOOL (PRIMARY),4 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (PRIMARY) SINGAPORE 389706,389706,33623.1818729434,33318.1223668903,1.31759126757284,103.883845744916,
